YEAR,GDP,CONS,PANIC
1994,447167.4,259853.9,normal
1995,459057.6,265890.8,normal
1996,471311.4,272378.6,normal
1997,472005.5,269626.5,yes
1998,464970.4,270989.9,yes
1999,467481.1,274219,yes
2000,476723.3,275055.5,normal
2001,474685.4,279345,normal
2002,479870.8,282578.8,normal
2003,490755.9,284902,normal
2004,497912.6,287100.3,normal
2005,507158,292578.5,normal
2006,516038.2,295035.8,normal
2007,525469.9,297443.2,normal
2008,505794.7,291445.7,normal
2009,495491.7,295026.7,normal
2010,512309.5,300051.3,normal
2011,513689,304729.5,normal
2012,519673.1,309689,normal
