year,quarter,sale
1993,1,3101281
1993,2,2776345
1993,3,2738075
1993,4,2611844
1994,1,2724604
1994,2,2515763
1994,3,2600729
1994,4,2713023
1995,1,2787066
1995,2,2526902
1995,3,2408679
1995,4,2472889
1996,1,2677180
1996,2,2408078
1996,3,2540200
1996,4,2721241
1997,1,2943444
1997,2,2754066
1997,3,2635940
1997,4,2641637
1998,1,2744749
1998,2,2355500
1998,3,2373521
1998,4,2568188
1999,1,2662583
1999,2,2269350
1999,3,2469637
1999,4,2490819
2000,1,2699835
2000,2,2471025
2000,3,2433410
2000,4,2536526
2001,1,2603332
2001,2,2346629
2001,3,2418782
2001,4,2408448
2002,1,2633633
2002,2,2422533
2002,3,2568323
2002,4,2632826
2003,1,2699423
2003,2,2435480
2003,3,2536272
2003,4,2614843
2004,1,2769782
2004,2,2536331
2004,3,2590456
2004,4,2614949
2005,1,2875302
2005,2,2609119
2005,3,2579589
2005,4,2735649
2006,1,2969172
2006,2,2738969
2006,3,2791538
2006,4,2984554
2007,1,2986147
2007,2,2727322
2007,3,2754014
2007,4,3128844
2008,1,3179879
2008,2,2879306
2008,3,2920898
2008,4,2595561
2009,1,1609872
2009,2,1711556
2009,3,2144131
2009,4,2468498
2010,1,2540720
2010,2,2303037
2010,3,2483875
2010,4,2301243
2011,1,1905684
2011,2,1524318
2011,3,2378004
2011,4,2590624
2012,1,2774101
2012,2,2475760
2012,3,2432838
2012,4,2260378
2013,1,2381907
2013,2,2279137
2013,3,2464577
2013,4,2504560
2014,1,2664129
2014,2,2402147
2014,3,2380856
2014,4,2327533
2015,1,2480197
2015,2,2170771
