year,month,motiie,kashiya,bunjou
1965,1,17614 ,29043 ,3576 
1965,2,22202 ,30213 ,4622 
1965,3,26266 ,28155 ,2385 
1965,4,31984 ,32366 ,3739 
1965,5,30212 ,27534 ,2555 
1965,6,33970 ,31680 ,2879 
1965,7,40663 ,27926 ,2660 
1965,8,34371 ,28953 ,2167 
1965,9,30455 ,32845 ,4428 
1965,10,38535 ,36398 ,3425 
1965,11,40027 ,34161 ,4168 
1965,12,30998 ,28698 ,4728 
1966,1,21444 ,24899 ,3830 
1966,2,26142 ,29451 ,2836 
1966,3,31438 ,26699 ,2747 
1966,4,33851 ,28216 ,3286 
1966,5,33842 ,25785 ,3735 
1966,6,43464 ,29465 ,3404 
1966,7,47515 ,28397 ,4247 
1966,8,36181 ,30535 ,3561 
1966,9,32642 ,30846 ,4730 
1966,10,37197 ,29777 ,4979 
1966,11,35590 ,36751 ,4694 
1966,12,28504 ,28460 ,5400 
1967,1,25580 ,30875 ,4784 
1967,2,29360 ,25997 ,4485 
1967,3,36845 ,30603 ,4482 
1967,4,42282 ,35315 ,6969 
1967,5,38900 ,30643 ,3767 
1967,6,40576 ,30412 ,3986 
1967,7,45077 ,32809 ,3255 
1967,8,54407 ,31317 ,4819 
1967,9,44990 ,32167 ,5145 
1967,10,42239 ,33393 ,6297 
1967,11,46829 ,33341 ,6986 
1967,12,39220 ,35249 ,6334 
1968,1,30960 ,38115 ,7963 
1968,2,35248 ,37112 ,7573 
1968,3,40593 ,36015 ,6896 
1968,4,47078 ,43167 ,8249 
1968,5,46489 ,41197 ,6680 
1968,6,47161 ,40034 ,7765 
1968,7,43960 ,39339 ,8620 
1968,8,51664 ,38163 ,6544 
1968,9,57957 ,42217 ,7550 
1968,10,47875 ,42735 ,9520 
1968,11,54190 ,42949 ,9619 
1968,12,44172 ,43954 ,10767 
1969,1,30858 ,38698 ,9666 
1969,2,37195 ,38043 ,8810 
1969,3,43629 ,36671 ,7924 
1969,4,48403 ,47179 ,9461 
1969,5,48385 ,44681 ,9384 
1969,6,58781 ,54448 ,11114 
1969,7,68245 ,46569 ,8366 
1969,8,58981 ,51347 ,11277 
1969,9,51027 ,60601 ,10724 
1969,10,49629 ,44020 ,12369 
1969,11,46145 ,49250 ,15027 
1969,12,41189 ,51905 ,15019 
1970,1,34809 ,46871 ,11617 
1970,2,43593 ,44936 ,13115 
1970,3,51829 ,51415 ,12045 
1970,4,54392 ,55275 ,12807 
1970,5,51761 ,47666 ,12273 
1970,6,56471 ,60109 ,14803 
1970,7,62554 ,52687 ,17473 
1970,8,63590 ,53427 ,12189 
1970,9,53105 ,49174 ,12524 
1970,10,51139 ,45713 ,14423 
1970,11,48937 ,52502 ,14889 
1970,12,45009 ,55840 ,15616 
1971,1,33848 ,66412 ,18508 
1971,2,36269 ,38632 ,11011 
1971,3,45460 ,53086 ,13014 
1971,4,53267 ,42575 ,14025 
1971,5,54603 ,42129 ,10590 
1971,6,62137 ,43719 ,10571 
1971,7,66528 ,53742 ,11936 
1971,8,57513 ,53056 ,13504 
1971,9,53741 ,54938 ,14383 
1971,10,54539 ,52769 ,17294 
1971,11,51544 ,48592 ,19424 
1971,12,48071 ,53097 ,17997 
1972,1,37028 ,43675 ,16563 
1972,2,42055 ,45599 ,13997 
1972,3,51358 ,117904 ,21560 
1972,4,56635 ,60593 ,16922 
1972,5,57409 ,57188 ,18163 
1972,6,63968 ,66436 ,20846 
1972,7,70147 ,62974 ,21084 
1972,8,66416 ,62423 ,19071 
1972,9,63736 ,68788 ,21813 
1972,10,63303 ,69756 ,22802 
1972,11,60620 ,71761 ,27455 
1972,12,55466 ,72627 ,32034 
1973,1,44572 ,67941 ,24226 
1973,2,54569 ,58377 ,23591 
1973,3,61712 ,75954 ,31846 
