year,month,total,nikka,others,massan
2010,4,45713,13664,32049,0
2010,5,85468,25365,60103,0
2010,6,72567,25989,46578,0
2010,7,175331,37436,137895,0
2010,8,137363,34273,103090,0
2010,9,124779,30722,94057,0
2010,10,67736,29323,38413,0
2010,11,32332,17484,14848,0
2010,12,17565,9072,8493,0
2011,1,19844,7573,12271,0
2011,2,18018,10486,7532,0
2011,3,19597,10621,8976,0
2011,4,28939,10338,18601,0
2011,5,65760,21115,44645,0
2011,6,63352,24724,38628,0
2011,7,158424,39937,118487,0
2011,8,134216,37387,96829,0
2011,9,132388,34252,98136,0
2011,10,84539,31418,53121,0
2011,11,46869,18182,28687,0
2011,12,20161,10064,10097,0
2012,1,19087,8564,10523,0
2012,2,18506,9264,9242,0
2012,3,23431,11156,12275,0
2012,4,38970,14570,24400,0
2012,5,70978,23297,47681,0
2012,6,79608,27729,51879,0
2012,7,155677,39877,115800,0
2012,8,128985,37295,91690,0
2012,9,117776,35352,82424,0
2012,10,80233,31797,48436,0
2012,11,47283,17571,29712,0
2012,12,24908,8488,16420,0
2013,1,24896,8206,16690,0
2013,2,22287,11410,10877,0
2013,3,21076,11193,9883,0
2013,4,36908,14576,22332,0
2013,5,70114,24384,45730,0
2013,6,83899,35348,48551,0
2013,7,164806,39908,124898,0
2013,8,157185,39647,117538,0
2013,9,120361,35329,85032,0
2013,10,94891,33342,61549,0
2013,11,41481,18565,22916,0
2013,12,22334,10240,12094,0
2014,1,19977,8244,11733,0
2014,2,21497,12113,9384,0
2014,3,25112,14429,10683,0
2014,4,43826,18006,25820,1
2014,5,85302,36305,48997,1
2014,6,99831,43783,56048,1
2014,7,183938,58329,125609,1
2014,8,173687,60355,113332,1
2014,9,166761,62552,104209,1
2014,10,147168,74306,72862,1
2014,11,100928,55082,45846,1
2014,12,45129,23069,22060,1
2015,1,46692,24053,22639,1
2015,2,66917,41541,25376,1
2015,3,88698,57506,31192,1
