year,month,hs
1985,1,77527
1985,2,90942
1985,3,103955
1985,4,116794
1985,5,99660
1985,6,112363
1985,7,107110
1985,8,95388
1985,9,101454
1985,10,110395
1985,11,106417
1985,12,114067
1986,1,84856
1986,2,96325
1986,3,106165
1986,4,115805
1986,5,104686
1986,6,117670
1986,7,121542
1986,8,113918
1986,9,122652
1986,10,126805
1986,11,125406
1986,12,128779
1987,1,93554
1987,2,109254
1987,3,119762
1987,4,138208
1987,5,130493
1987,6,150704
1987,7,154578
1987,8,149134
1987,9,155493
1987,10,160509
1987,11,157022
1987,12,155589
1988,1,111376
1988,2,127945
1988,3,137483
1988,4,140929
1988,5,135916
1988,6,153525
1988,7,151617
1988,8,152342
1988,9,144566
1988,10,146851
1988,11,139174
1988,12,142920
1989,1,102183
1989,2,115750
1989,3,136843
1989,4,147091
1989,5,135306
1989,6,150241
1989,7,148975
1989,8,143166
1989,9,144610
1989,10,150935
1989,11,143694
1989,12,143818
1990,1,108644
1990,2,122241
1990,3,134062
1990,4,147845
1990,5,146627
1990,6,162007
1990,7,158367
1990,8,143070
1990,9,152093
1990,10,151938
1990,11,138354
1990,12,141861
1991,1,104097
1991,2,106957
1991,3,112151
1991,4,119839
1991,5,114239
1991,6,127079
1991,7,125160
1991,8,110478
1991,9,111645
1991,10,113153
1991,11,111477
1991,12,113851
1992,1,87066
1992,2,99436
1992,3,109554
1992,4,120341
1992,5,114127
1992,6,128397
1992,7,131243
1992,8,123783
1992,9,123224
1992,10,124816
1992,11,120600
1992,12,120003
1993,1,87868
1993,2,105693
1993,3,119657
1993,4,121651
1993,5,114637
1993,6,133712
1993,7,137340
1993,8,137281
1993,9,136339
1993,10,134527
1993,11,131129
1993,12,125850
1994,1,106097
1994,2,112372
1994,3,118852
1994,4,135810
1994,5,130096
1994,6,147909
1994,7,145373
1994,8,139753
1994,9,132647
1994,10,134853
1994,11,136983
1994,12,129507
1995,1,100184
1995,2,114351
1995,3,113154
1995,4,124091
1995,5,115648
1995,6,124735
1995,7,129125
1995,8,118726
1995,9,125639
1995,10,131792
1995,11,137180
1995,12,135705
1996,1,107401
1996,2,112216
1996,3,122394
1996,4,139312
1996,5,136571
1996,6,136675
1996,7,157114
1996,8,135748
1996,9,147505
1996,10,159987
1996,11,150749
1996,12,137594
1997,1,105375
1997,2,110530
1997,3,113218
1997,4,126318
1997,5,123478
1997,6,120842
1997,7,113495
1997,8,112004
1997,9,114721
1997,10,119715
1997,11,115266
1997,12,112052
1998,1,88207
1998,2,95536
1998,3,99713
1998,4,106001
1998,5,102503
1998,6,106715
1998,7,100677
1998,8,99228
1998,9,98645
1998,10,104291
1998,11,96827
1998,12,99952
1999,1,78359
1999,2,86581
1999,3,99757
1999,4,107204
1999,5,101547
1999,6,114505
1999,7,102553
1999,8,107612
1999,9,109012
1999,10,103658
1999,11,104669
1999,12,99144
2000,1,91519
2000,2,88635
2000,3,96149
2000,4,107258
2000,5,100443
2000,6,113098
2000,7,101696
2000,8,103554
2000,9,105613
2000,10,105251
2000,11,107020
2000,12,109607
2001,1,81348
2001,2,83440
2001,3,94829
2001,4,99556
2001,5,100250
2001,6,101168
2001,7,103135
2001,8,104705
2001,9,102507
2001,10,101746
2001,11,105743
2001,12,95431
2002,1,84196
2002,2,85775
2002,3,88958
2002,4,98924
2002,5,106110
2002,6,101502
2002,7,96245
2002,8,97653
2002,9,97238
2002,10,103567
2002,11,98664
2002,12,92184
2003,1,82770
2003,2,83399
2003,3,87297
2003,4,100276
2003,5,97970
2003,6,115081
2003,7,98718
2003,8,92406
2003,9,98369
2003,10,104572
2003,11,98399
2003,12,100826
2004,1,88797
2004,2,84950
2004,3,93285
2004,4,96178
2004,5,98889
2004,6,106582
2004,7,106462
2004,8,102070
2004,9,108281
2004,10,106145
2004,11,98561
2004,12,98849
2005,1,94944
2005,2,85288
2005,3,90789
2005,4,96740
2005,5,101862
2005,6,109184
2005,7,115343
2005,8,109199
2005,9,108086
2005,10,115822
2005,11,110986
2005,12,97932
2006,1,92899
2006,2,96995
2006,3,94318
2006,4,111260
2006,5,108652
2006,6,114331
2006,7,106649
2006,8,111187
2006,9,112442
2006,10,118360
2006,11,115392
2006,12,107906
2007,1,92219
2007,2,87360
2007,3,99488
2007,4,107255
2007,5,97076
2007,6,121149
2007,7,81714
2007,8,63076
2007,9,63018
2007,10,76920
2007,11,84252
2007,12,87214
2008,1,86971
2008,2,82962
2008,3,83991
2008,4,97964
2008,5,90804
2008,6,100929
2008,7,97212
2008,8,96905
2008,9,97184
2008,10,92123
2008,11,84277
2008,12,82197
2009,1,70688
2009,2,62303
2009,3,66628
2009,4,66198
2009,5,62805
2009,6,68268
2009,7,65974
2009,8,59749
2009,9,61181
2009,10,67120
2009,11,68198
2009,12,69298
2010,1,64951
2010,2,56527
2010,3,65008
2010,4,66568
2010,5,59911
2010,6,68688
2010,7,68809
2010,8,71921
2010,9,71998
2010,10,71390
2010,11,72838
2010,12,74517
2011,1,66709
2011,2,62252
2011,3,63419
2011,4,66757
2011,5,63726
2011,6,72687
2011,7,83398
2011,8,81986
2011,9,64206
2011,10,67273
2011,11,72635
2011,12,69069
2012,1,65984
2012,2,66928
2012,3,66597
2012,4,73647
2012,5,69638
2012,6,72566
2012,7,75421
2012,8,77500
2012,9,74176
2012,10,84251
2012,11,80145
2012,12,75944
2013,1,69289
2013,2,68969
2013,3,71456
2013,4,77894
2013,5,79751
2013,6,83704
2013,7,84801
2013,8,84343
2013,9,88539
2013,10,90226
2013,11,91475
2013,12,89578
2014,1,77843
2014,2,69689
2014,3,69411
2014,4,75286
2014,5,67791
2014,6,75757
2014,7,72880
2014,8,73771
